id,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Flag calculada,Fee,LT ,Tempo de Contrato,Data de vencimento do contrato,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Status,Prioridade,Produto 2,Produto 3,Plano de Ação,Coluna 23,Coluna 24
,IMOBI SERVICOS DE APOIO ADMINISTRATIVO S.A.,Não,Giullio Barbosa,Bruna Carvalho,Leonardo,05/06/2026,🔴 VERMELHO," R$  6.691,49 ",3,12 meses,21/05/2027,,,Caxias do Sul ,,,Accont Planning,S/ Prioridade,S/ Prioridade,S/ Prioridade,,,
,Capital Brokers,Não,Giullio Barbosa,Bruna Carvalho,Leonardo,05/06/2026,🔴 VERMELHO," R$  10.133,84 ",3,12 meses,17/04/2027,,,"São Paulo, Capital",,,Accont Planning,CRM Mkt/Sales,Site/Ecomm,S/ Prioridade,,,
,Lar Paraguay,Não,Giullio Barbosa,Bruna Carvalho,Leonardo,05/06/2026,🔴 VERMELHO," R$  6.691,49 ",#REF!,12 meses,17/04/2027,,,Chácara Santo Antônio,,,Accont Planning,S/ Prioridade,S/ Prioridade,S/ Prioridade,,,
,TEKSEA,,,Bruna Carvalho,Leonardo,,🔴 VERMELHO,#REF!,10,#REF!,#REF!,,,#REF!,,,Accont Planning,CRM Mkt/Sales,,,Bruna verificar sobre o CRM do cliente e processo atual de implementação,,
,BLASTEC,Não,Giullio Barbosa,Bruna Ferreira,Lilian Detoni,06/07/2026,🔴 VERMELHO,#REF!,4,#REF!,#REF!,,,#REF!,,,Subiu AQL,Social Media ,S/ Prioridade,S/ Prioridade,Social Media agendado quarta-feira no horário do check-in,,
,MORAIS E VALADARES,Não,Giullio Barbosa,Bruna Ferreira,Lilian Detoni,22/05/2026,#REF!," R$  6.000,00 ",#REF!,Indefinido,-,,,"Blumenau, SC",,,Accont Planning,E.C ,S/ Prioridade,S/ Prioridade,"Produto Comercial. Produto do portfólio com ticket mais baixo.
Agendar reunião com Letícia e Cliente.",,
,Energya Transformadores,Não,Giullio Barbosa,Bruna Ferreira,Lilian Detoni,22/05/2026,🔴 VERMELHO," R$  4.621,00 ",#REF!,6 meses,24/09/2026,,,"Palmares do Sul, RS",,,Accont Planning,Social Media ,MIV / Branding,S/ Prioridade,,,
,Serra Mineira,Não,Giullio Barbosa,Bruna Ferreira,Lilian Detoni,22/05/2026,🔴 VERMELHO,#REF!,3,#REF!,#REF!,,,#REF!,,,Accont Planning,CRM Mkt/Sales,Treinamentos Comercial,Retargeting,,,
1182761881,MIKE RENOVATIONS,Não,Giullio Barbosa,Bruna Ferreira,Lilian Detoni,17/05/2026,#REF!," R$  6.482,38 ",12,12 meses,13/04/2027,,,Minas Gerais,,,Accont Planning,Site/Ecomm,S/ Prioridade,S/ Prioridade,,,
,PASTELARIA,,,,,,,,,,,,,"Fort Myers, Florida",,,Accont Planning,S/ Prioridade,S/ Prioridade,S/ Prioridade,"https://v4-product-compass.lovable.app/produto/profissional-de-v4-food-20-plano-scale 

Dá uma estudada aqui",,
,RENOVAÚTIL,,,,,,," R$  5.332,27 ",,,,,,"São Paulo, Capital",,,Accont Planning,CRM Mkt/Sales,Site/Ecomm,Social Media ,,,
,,,,,,,," R$  4.017,59 ",,,,,,"Campo Largo, Paraná",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,Não,,,,,#REF!,,,,,,,,,,,,,,,,
,,Não,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,
