id,Nome do Projeto,Churn realizado,Modalidade de Vendas,Fee,Step,Coodernador,Account,GT,Data da Atualização,Nota MQL/Demanda,Justificativa MQL/Demanda,Nota Atrasos,Justificativa Atrasos,Nota Qualidade,Justificativa Qualidade,Nota Relacionamento,Justificativa Relacionamento,Nota Resultado,Justificativa Resultado,Flag média,Pontuação ponderada,Resumo Histórico (4 semanas),Resultados,Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Coordenador?,Data da Ultima auditoria?,Tem CRM?,Total Media Plan,Meta Media Plan,Google Media Plan,Forma de pagamento Meta,Forma de pagamento Google,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato / Aviso prévio,Last CSAT Matriz (m/ano),Geral,CSAT atendimento,CSAT campanhas,CSAT Copy,CSAT Design,CSAT prazo,CSAT resultados,MHS,NPS,Tier,ARR,GMV / Mensal,Cidade,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato,Planjamento do Q3,Drive do Cliente,Column 59
1295925008,ON SYSTEM,Sim,Inside Sales," R$  6.064,16 ",V1,Cadu,Daniel ,Juliano,24/07/2026,FALSE,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,,,,,,,0,Aviso Prévio,Sim,Gestão de Alerta (Loop) - Onsystem,14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 3.000,00","R$ 1.500,00","R$ 1.500,00",Cartão,Pix,,,6,04/02/2026,-,-,-,-,-,-,-,-,-,-,-,,"R$ 0,00","R$ 0,00",São Paulo/SP,Serviço de pronta-resposta,,On System |  GrowthPack V26 (Inside Sales),,Link do Contrato,Pendente,621. ON SYSTEM,
?,TUDDO CRED,Não,Inside Sales," R$  5.855,00 ",V1,Cadu,Daniel ,Juliano,31/07/2026,2,Zero métricas de e-mail/prospecção apresentadas; check-in de 29/07 explicitou 'a gente tá muito no escuro' sobre taxas de abertura/resposta — nenhum número de MQL discutido no mês.,2,"2 tarefas ativas vencidas na workspace, máx. 10 dias de atraso.",2,"Sem entrega ainda avaliável — 1 mês de contrato, projeto em transição de escopo (tráfego pago → e-mail marketing).",3,"Cadência cumprida: 4 check-ins confirmados no mês (01, 15, 22, 29/07) com múltiplos sócios/decisores presentes (Alexandra, Kezia, Larissa). Reunião de 29/07 foi colaborativa — mudança de escopo negociada e aceita por todos, mantendo o valor do contrato.",3,Sem meta de Resultado pactuada — nota fixada em 3 até definição formal de meta (projeto em reestruturação de escopo).,🟡 AMARELO,64,"4 avaliações válidas (01, 15, 22, 29/07). Relacionamento evoluiu de crítico (kickoff sem sócios decisores, 15/07) para saudável (múltiplos sócios engajados, decisão de escopo tomada em conjunto, 29/07). MQL segue sem nenhum dado mensurável o mês inteiro. Tendência: melhorando (relacionamento) | flag histórica: vermelha até 15/07, amarela em 29/07 | confiança: média (mudança recente, vale confirmar continuidade).",0,Antecipação,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Não,"R$ 0,00","R$ 0,00","R$ 0,00",-,-,,,2,01/06/2026,-,-,,-,-,-,-,-,-,-,-,,"R$ 0,00","R$ 0,00",São Paulo/SP,Empréstimo consignado,-,-,,Link do Contrato,-,686. TUDDO PAY,
1246981575,SPEEDCLOUD,Não,Inside Sales," R$  7.600,00 ",V1,Cadu,Daniel ,Juliano,31/07/2026,2,CPL muito acima do projetado (R$170 vs R$8 estimado sem histórico); KRs desalinhados.,1,"6 tarefas ativas vencidas na workspace, máx. 7 dias de atraso.",3,Sem pedido de refação.,3,"Cadência confirmada: 3 check-ins no mês (02,23,30/07). Transcrição de 30/07: reestruturação de processo, foco em Google Ads, CPL ainda alto mas com plano de redução pela metade — reunião produtiva e colaborativa.",2,"~9 vendas no mês (ticket ~R$80–100+/mês recorrente), mas ainda distante de cobrir fee + mídia com folga.",🔴 VERMELHO,59,"3 avaliações válidas (02,23,30/07). Projeto de SaaS tracionando com Google Ads (~9 vendas/mês), mas CPL ainda muito acima do projetado — plano de redução pela metade definido em 30/07. Tendência: melhorando (comercial) | flag histórica: vermelha (por atrasos) | confiança: média.",8,Antecipação,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 3.000,00","R$ 1.500,00","R$ 0,00",Cartão,N/A,,,9,24/10/2025,60 dias,-,4,4,4,4,4,4,5,Muito desapontado,10,TINY,"R$ 240.000,00","R$ 20.000,00",São Paulo/SP,Hospedagem de site,CAC Mapeado | SpeedCloud,SpeedCloud |  GrowthPack V26 (Inside Sales),,Link do Contrato,Pendente,539. SPEEDCLOUD,
1261961677,EMEC,Não,Inside Sales," R$  4.955,39 ",V1,Cadu,Daniel ,Juliano,31/07/2026,1,"Nenhum dado de funil discutido; projeto em fase de estruturação (auditoria de etapas, acessos ao CRM).",1,"3 tarefas ativas vencidas na workspace, máx. 9 dias de atraso.",3,Sem pedido de refação.,2,"Apenas 1 reunião confirmada no mês (21/07, com emec@emecc.com.br e gestaocomercial@emecc.com.br) — cadência abaixo do ideal. Transcrição mostra sessão de capacitação comercial (cockpit, scripts SPIN/AIDA) com tom positivo e colaborativo, sem atrito.",3,Sem meta de Resultado pactuada — nota fixada em 3 até definição formal de meta (projeto em estruturação).,🔴 VERMELHO,54,"1 avaliação válida no mês (21/07) — cadência abaixo do ideal. Projeto em fase de estruturação comercial (cockpit, scripts, RD Marketing), sessão de capacitação positiva e sem atrito, mas ainda sem funil ativo mensurável. Tendência: indeterminada (dado insuficiente) | flag histórica: vermelha (por atrasos) | confiança: baixa.",0,Aviso Prévio,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Não,"R$ 1.500,00","R$ 1.500,00","R$ 0,00",Cartão,N/A,,,8,26/11/2025,60 dias,-,,-,-,-,-,-,-,-,-,,"R$ 0,00",,Santa Barbara/MG,Industra de mineração,CAC e Breakeven | Emec,Emec |  GrowthPack V26 (Inside Sales),,Link do Contrato,Link da apresentação,579. EMEC,
1080124691,MUVY,Sim,Inside Sales," R$  4.920,00 ",V2,Cadu,Daniel ,Juliano,24/07/2026,TRUE,TRUE,TRUE,TRUE,FALSE,🟢 SAFE,27,,,,,,,10,Aviso Prévio,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 5.000,00","R$ 5.000,00","R$ 0,00",Cartão,N/A,,,21,18/10/2024,60 dias,06/2026,,-,-,-,-,-,-,-,-,SMALL,"R$ 3.714.625,68","R$ 309.552,14",Chapecó/SC,Academia ,Muvy | GrowthPack V26 (Inside Sales),Muvy | GrowthPack V26 (Inside Sales),,Link do Contrato,Link da apresentação,341. MUVY CLUBE DO MOVIMENTO,
1080124981,INFINITY,Não,Inside Sales," R$  4.683,00 ",V2,Cadu,Daniel ,Juliano,31/07/2026,2,"~500 conversas iniciadas no mês, mas sem integração ao CRM — volume não qualificável como MQL confiável.",1,"7 tarefas ativas vencidas na workspace, máx. 13 dias de atraso.",3,Sem pedido de refação formal.,2,"Divergência entre fontes: o Loop de 28/07 registrou insatisfação explícita do cliente, mas a transcrição da call da mesma data (28/07) mostra reunião estruturada e colaborativa (auditoria de atendimento, pivô para LP/formulário nativo, meta de 30% de conversão em orçamentos). Cadência confirmada (4 check-ins: 07,16,21,28/07). Recomendo validar com o coordenador qual leitura reflete melhor a realidade.",2,"Faturamento de R$11.313 confirmado no mês (transcrição de 28/07) — resultado real, mas histórico da conta (~2 anos) segue fraco.",🔴 VERMELHO,53,"4 avaliações válidas (07,16,21,28/07). Faturamento de R$11.313 confirmado no mês — resultado real, ainda fraco para uma conta de ~2 anos de base. Divergência relevante entre a leitura do Loop (insatisfação explícita) e a transcrição da call de mesma data (colaborativa) — recomendo validação do coordenador. Tendência: mista | flag histórica: vermelha (por atrasos) | confiança: média.",5,Antecipação,Não,Gestão de Alerta (Loop),-,eKyte,-,Não,,Sim,"R$ 4.000,00","R$ 4.000,00","R$ 0,00",Boleto,N/A,,,23,29/08/2024,30 dias,06/2026,3,4,3,3,3,4,3,Pouco Desapontado,8,SMALL,"R$ 4.320.000,00","R$ 360.000,00",Bauru/SP,Equipamentos de Academia,Infinity | GrowthPack V26 (Inside Sales),Infinity | GrowthPack V26 (Inside Sales),,Link do Contrato,Link da apresentação,324. INFINITY - GUSTAVO DE LUCAS CAMARGO,
1282921553,NIKA SECURITIZADORA S/A,Sim,Inside Sales," R$  4.093,25 ",V1,Cadu,Daniel ,Leandro ,24/07/2026,FALSE,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,,,,,,,0,Tratativa,Não,Acessar Loop,,,,Não,,Não,"R$ 3.000,00","R$ 2.000,00","R$ 1.000,00",Cartão,N/A,,,6,14/01/2026,Sem aviso ,06/2026,,3,2,3,4,2,1,Muito desapontado,5,,"R$ 0,00","R$ 0,00",Americana/SP,Securitizadora,Nika Securitizadora |  GrowthPack V26 (Inside Sales),Nika Securitizadora |  GrowthPack V26 (Inside Sales),,Link do Contrato,,,
1247349794,ALLINI CLOSET,Sim,E-commerce," R$  2.300,00 ",V1,Cadu,Daniel ,Juliano,24/07/2026,FALSE,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,,,,,,,0,Aviso Prévio,Sim,Gestão de Alerta (Loop) - Allini Closet,14/07/2026,eKyte,24/07/2026,Não,,Não,"R$ 2.000,00","R$ 2.000,00","R$ 0,00",Cartão,N/A,,,10,01/10/2025,60 dias,-,-,-,-,-,-,-,-,-,-,TINY,"R$ 204.000,00","R$ 17.000,00",São Paulo/SP,E-commerce de Moda,CAC e Breakeven | Allini Closet,-,,Link do Contrato,-,531. ALLINI CLOSET,
?,INSTITUTO VITTA CORPUS,Não,Inside Sales," R$  2.112,00 ",V1,Cadu,Daniel ,Juliano,31/07/2026,1,"Nenhum dado de funil discutido nesta rodada ('não aprofundado nesta sprint', segundo o Loop de 28/07).",1,"5 tarefas ativas vencidas na workspace, máx. 9 dias de atraso.",3,Sem pedido de refação.,1,"CRÍTICO: busca ampla na Agenda de julho (termos 'vitta', 'vita corp') retornou zero eventos — nenhuma reunião com o cliente confirmada no mês.",1,Sem mensuração de conversão possível (CRM não movimentado pelo cliente); nenhum dado de resultado.,🔴 VERMELHO,38,"0 avaliações localizadas — busca ampla na Agenda de julho não retornou nenhum evento com o cliente. Dor recorrente do squad (cliente não atualiza CRM) segue sem solução, agora reforçada por ausência total de reunião confirmada. Tendência: indeterminada (sem dado) | flag histórica: vermelha | confiança: nula.",0,Antecipação,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 1.000,00","R$ 1.000,00","R$ 0,00",Cartão,N/A,,,2,01/06/2026,6 meses,-,4,5,5,4,4,5,5,Muito desapontado,9,TINY,"R$ 900.000,00","R$ 75.000,00",Goania/GO,Clinica ,Vitta Corpus | GrowthPack V26 (Inside Sales),Vitta Corpus | GrowthPack V26 (Inside Sales),,Link do Contrato,-,616. VITTA CORPUS SAUDE ESTETICA,
?,CONCLAVE,Não,Inside Sales, R$  -   ,V1,Cadu,Daniel ,Juliano,31/07/2026,1,Projeto de indicação (não é funil de mídia tradicional); nenhum dado de funil aplicável apresentado.,1,"4 tarefas ativas vencidas na workspace, máx. 11 dias de atraso.",3,Sem pedido de refação.,2,"Transcrição de 22/07 mostra trabalho real e colaborativo em andamento (expansão de equipe, estratégia de patrocínio, refinamento de pitch para investidores, estratégia de conteúdo). Porém a contrapartida específica que o Loop cobrava (reunião/jantar com Igor para formalizar indicações) segue sem solução há ~2 meses — ponto crítico separado do trabalho de conteúdo do dia a dia.",1,Nenhuma indicação de cliente novo formalizada ainda (retorno esperado do projeto).,🔴 VERMELHO,43,"2 avaliações válidas (01,22/07). Trabalho de conteúdo e estratégia segue ativo e colaborativo, mas a contrapartida específica do projeto (indicações via reunião/jantar com Igor) está travada há ~2 meses sem solução. Tendência: mista (conteúdo ativo, contrapartida parada) | flag histórica: vermelha (por atrasos e resultado) | confiança: média.",0,Antecipação,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 0,00","R$ 0,00","R$ 0,00",Pix,N/A,,,2,01/06/2026,-,-,,-,-,-,-,-,-,-,-,SMALL,"R$ 3.000.000,00","R$ 250.000,00",São Paulo/SP,Eventos privados,-,-,,Link do Contrato,Link da apresentação,Projeto Conclave - V4,
,GB INSURANCE GROUP LTDA,Não,Inside Sales," R$  6.352,00 ",V2,Cadu,Leonardo ,Guilherme,31/07/2026,4,250 MQLs de 350 leads gerados no mês (72% de conversão) — geração saudável.,1,"8 tarefas ativas vencidas na workspace, máx. 24 dias de atraso.",3,"Sem pedido de refação — problema identificado é operacional/CRM (WhatsApp banido), não de qualidade de entrega.",3,"Cadência excelente: 6 check-ins confirmados no mês (02, 09, 14, 16, 23, 30/07), sempre com múltiplos decisores reais presentes (Edson, Gustavo, Aline, Michele). Reunião de 30/07 mostra normalização: migração para API oficial do WhatsApp em andamento, resolvendo o acúmulo de leads sem atendimento identificado dias antes.",2,"Faturamento mensal de R$9.000–10.000 confirmado no check-in de 30/07 — resultado real, mas sem meta explícita para comparação.",🔴 VERMELHO,68,"6 avaliações válidas (02, 09, 14, 16, 23, 30/07), maior cadência confirmada do lote revisado. Geração de MQL manteve-se forte (72% de conversão) o mês inteiro. Resultado e Relacionamento melhoraram nos últimos dias de julho: faturamento de R$9-10k confirmado e decisores voltaram a participar ativamente após bloqueio do WhatsApp. Atrasos no Ekyte (8 tarefas, 24 dias) seguem sendo o único ponto crítico. Tendência: melhorando (comercial e relacionamento) | flag histórica: vermelha o mês inteiro (por atrasos) | confiança: alta.",4,Aviso Prévio,Sim,Gestão de Alerta (Loop),14/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 4.000,00","R$ 4.000,00","R$ 0,00",Cartão,N/A,,,4,05/03/2026,6 meses,06/2026,4,5,3,5,5,5,4,Pouco Desapontado,10,,,,Osório - RS,Seguro Solar,Não temos,GB SEGUROS | GrowthPack V26 (Inside Sales),,Link do Contrato,link da apresentação,445. GB SEGUROS,
