ok ,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Meta de MQL,Entregas prazo,Entregas qualidade,Relacionamento,Flag calculada,Health Médio,Resultados,Objetivo Smart,KR 1,Realizado KR1,Pacing KR1,Definição de MQL,KR 2,Realizado KR2,Pacing KR2,KR 3,Realizado KR3,Pacing KR3,Plano Ação,Definição de MQL,Realizado KR3,Pacing KR3,Link Replanejamento,Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Gerente,Step,Fee,Total Media Plan,Meta Media Plan,Google Media Plan,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato,Last CSAT Matriz (m/ano),CSAT atendimento,CSAT prazo,CSAT resultados,CSAT Copy,CSAT Design,CSAT campanhas,MHS,NPS,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato
,UNIVERSE,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,5,2,Faturar 100 mil por mês em 6 meses ( meta Q3> Alcançar R$ 72 mil de faturamento no site em Q3),"R$ 100.000,00",19791,"19,79%",,,,,,,,Temos PDA rodando [Inserir o link] ,,,,https://snazzy-haupia-22d23d.netlify.app/,Tratativa,,,,,,,V1," R$  6.000,00 ",,,,,,,28/01/2026,28/07/2026,01/07/2026,5,3,4,4,4,4,,7,,,São Paulo- SP,E-commerce,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299753266?title=universe
,DE PAULA ODONTOLOGIA,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,TRUE,TRUE,TRUE,TRUE,🟢 SAFE,27,7,Gerar 200 leads por mês,"R$ 200,00",148,"74,00%",,"8,5","6,63","78,00%",10000,,,"- Otimizar esse custo por lead nas plataformas;
- Traquear por criativo as tags para pegar no CRM o que está funcionando",,8100,"81,00%",,Antecipação,Não,,,,,Sim,V2," R$  5.077,00 ","R$ 8.945,00","R$ 6.495,00","R$ 2.500,00",,,54,22/04/2022,22/10/2026,,,,,,,,,,,,Taquara- RS,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1080125545?title=new
,TEKSEA,Não,Felipe Gonçalves,Mailon Weber,Guilherme Santana,15/05/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,Posicionar a empresa como referência do mais elevado padrão técnico do setor,,,,,,,,,,,,,,,,Tratativa,,,,,,,V1," R$  6.000,00 ",,,,,,,28/01/2026,28/07/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299718745?title=teksea
,POINT MOTORS,Sim,Felipe Gonçalves,Mailon Weber,Guilherme Santana,29/06/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,Aviso prévio,,,,,,,,,,,,,,,,,,,,,,,V2,,,,,,,,,,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299753846?title=point
,CASA AO LADO,Não,Felipe Gonçalves,Mailon Weber,Guilherme Santana,22/06/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,"Gerar R$33.000,00 de faturamento no mês vindos de campanhas","R$ 33.000,00",0,"0,00%",,-,-,#VALUE!,-,,,,,-,#VALUE!,,Saudável,,,,,,,V2," R$  3.497,00 ",,,,,,,29/01/2026,29/07/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299752766?title=casa
,ODONTO EXCELLENCE,Não,Felipe Gonçalves,Guilherme Santana,Guilherme Santana,29/06/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,8,0,Marcar 25 agendamento no mês vindos de campanhas,"R$ 25,00",0,"0,00%",,,,,,,,,,,,,Aviso Prévio,,,,,,,V2," R$  2.000,00 ",,,,,,,28/01/2026,28/01/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1303774745?title=odonto
,TARSUS,Não,Felipe Gonçalves,Mailon Weber,Guilherme Santana,22/06/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,8,0,Gerar 45 MQLs no mês (Não aprovado com o cliente),"R$ 45,00",11,"24,44%",,,,,,,,,,,,,Tratativa,,,,,,,V2," R$  6.634,00 ","R$ 3.000,00",,,,,,19/02/2026,19/02/2027,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1301987085?title=ideal
,VERTIQ CORRETORA DE SEGUROS E CAMBIO LTDA,Não,Felipe Gonçalves,Mailon Weber,Guilherme Santana,22/06/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,8,0,3 Vendas de consórcio e 3M de carteira na renda variavel,"R$ 7,00",0,"0,00%",,,,,,,,,,,,,Tratativa,,,,,,,V2," R$  6.100,00 ",,,,,,,08/05/2025,08/11/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1141451168?title=vertiq
,LAR PARAGUAY,Não,Felipe Gonçalves,Luis Guilherme,Felipe Porto,21/07/2026,FALSE,TRUE,TRUE,FALSE,⚫ CRITICAL,10,0,"Sem metas, vamos definir (talvez DR-X)",,,,,,,,,,,,,,,,Tratativa,,,,,,,V1," R$  5.774,10 ",,,,,,,31/03/2025,31/09/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1125079972?title=LAR
,MEDJUS,Não,Felipe Gonçalves,Luis Guilherme,Felipe Porto,29/06/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,3,3,Aviso prévio,,,,,,,,,,,,,,,,Aviso Prévio,,,,,,,," R$  6.350,00 ",,,,,,,,,,,,,,,,,,,,,SaaS,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1190439599?title=medjus
,JUSTPET,Não,Felipe Gonçalves,Luis Guilherme,Felipe Porto,29/06/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,Aviso prévio,,,,,,,,,,,,,,,,Aviso Prévio,,,,,,,V2," R$  6.500,00 ",,,,,,,,,,,,,,,,,,,,,SaaS,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1266739850?title=petjus
,KOMFORT VISION,Sim,Felipe Gonçalves,Luis Guilherme,Felipe Porto,29/06/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,Precisamos alinhar aqui (Fazemos esse acompanhamento diário),,,,,,,,,,,,,,,,Tratativa,,,,,,,V1," R$  55.833,97 ",,,,,,,19/03/2026,19/03/2027,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1321329695?title=komfort
1080124968,NILOS DO BRASIL LTDA,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,TRUE,🟡 CARE,22,9,R$18.000 de faturamento mensal,"R$ 18.000,00",15432,"85,73%","Envio de proposta a R$203,00",,,,,,,"Verificar quais termos de pesquisa geraram as 6 vendas do mes
Verificar sazonalidade desses termos de pesquisa",,,,https://nilos-checkin-quarter-5eccfd32.netlify.app,Antecipação,Não,,,,,,V2," R$  4.310,00 ","R$ 5.000,00","R$ 3.500,00","R$ 1.500,00","R$ 318,93","R$ 318,93",#NUM!,11/09/2024,,,,,,,,,,3,,MEDIUM,"Contagem, MG",Inside Sales,Indústria,,,,NILOS DO BRASIL LTDA: Link do Contrato
1104161978,HODIE SEMPER REAL ESTATE LTDA,Sim,Felipe Gonçalves,Fanuel Silva,Felipe Campos,07/07/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,4 Vendas,"R$ 4,00",0,"0,00%",,,,,,,,,,,,,Aviso Prévio,Não,Churn Oficial em 03/06. Não abriremos Loop pq o cliente já saiu do grupo.,,,03/07/2026,,V2," R$  7.613,00 ","R$ 7.200,00","R$ 7.200,00","R$ 0,00","R$ 3.103,29","R$ 0,00",#NUM!,20/03/2025,,,,,,,,,,8,,LARGE,"São Paulo, SP",Inside Sales,Imobiliário,,,,HODIE SEMPER REAL ESTATE LTDA: Link do Contrato
1169430226,ZIPBUM,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,Definir geração MQLs,"R$ 40.000,00",0,"0,00%",,,,,,,,"- Anderson não responde sobre retorno dos leads
- Vamos fazer follow frequente sobre os leads
- Depois vamos enviar uma mensagem para o Junior sobre",,,,Em plano de ação,Tratativa,Não,Gestão de Alerta (Loop) - Zipbum,23/07/2026,,07/08/2026,,V1," R$  5.200,00 ","R$ 5.000,00","R$ 2.500,00","R$ 2.500,00","R$ 0,00","R$ 381,44",#NUM!,28/06/2025,,,,,,,,,,8,,LARGE,"São Paulo, SP",Inside Sales,E-commerce,,,,ZIPBUM: Link do Contrato
1153524649,STRUTURAL,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,TRUE,TRUE,TRUE,TRUE,🟢 SAFE,30,10,40.000 de faturamento mês,"R$ 40.000,00",60000,"150,00%",,,,,,,,,,,,https://estrutural-checkin-quarter.netlify.app/,Tratativa,Não,Plano de Ação - Strutural - 2026-06-26,26/06/2026,https://app.ekyte.com/#/projects/310388/edit,,,V2," R$  4.500,00 ","R$ 4.000,00","R$ 2.500,00","R$ 1.500,00","R$ 147,19","R$ 268,67",#NUM!,28/05/2025,,01/07/2026,5,5,5,5,5,5,,10,,MEDIUM,"Manaus, AM",Inside Sales,Varejo físico,,,,STRUTURAL: Link do Contrato
1173363589,FORD SPERANDIO,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,07/07/2026,FALSE,TRUE,TRUE,FALSE,⚫ CRITICAL,10,0,10 Carros/mês,"R$ 10,00",0,"0,00%",,,,,,,,,,,,Churn,Aviso Prévio,Sim,Plano de Transição e Garantia Operacional – FORD Sperandio,11/06/2026,,09/08/2026,,V2," R$  5.640,00 ","R$ 8.600,00","R$ 6.400,00","R$ 2.200,00","R$ 0,00","R$ 0,00",#NUM!,07/07/2025,,,,,,,,,,,,LARGE,"Chapecó, SC",Inside Sales,Automotivo,,,,FORD SPERANDIO: Link do Contrato
1080125960,JS PEÇAS,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,TRUE,🟡 CARE,23,10,200K  / mês ,"R$ 200.000,00",296000,"148,00%",,,,,,,,"- Montar uma landing page;
- Lead oculto com o inside sales;
- Felipe mostrar sobre ação de exclusão dos compradores do app;
- Fanu verificar antes e depois das campanhas no app.",,,,Em construção,Tratativa,Não,Giulio tentou um upsell e o cliente pediu para segurarmos toda a execução até o final dessa negociação.,,,,,V3," R$  11.961,00 ","R$ 9.000,00","R$ 7.000,00","R$ 2.000,00","R$ 0,00","R$ 0,00",#NUM!,07/01/2025,,,,,,,,,,,,LARGE,"Goiania, GO",Mktplace,E-commerce,,,,JS PEÇAS: Link do Contrato
1296483920,ELARA,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,15,2,10K / mês,"R$ 10.000,00",200,"2,00%",,,,,,,,"- Fazer um benchmark de concorrentes para entender como que eles 
conseguem um frete competitivo
- Voltar com ecommerce",,,,Cliente novo,Tratativa,Não,,,,,,V1," R$  5.017,17 ","R$ 4.000,00","R$ 2.500,00","R$ 1.500,00","R$ 3.834,50","R$ 0,00",#NUM!,28/01/2026,,01/07/2026,5,4,3,4,4,5,,9,,LARGE,"Nazaré, SP",Mktplace,Indústria,,,,ELARA: Link do Contrato
1197723519,OCTOPUS GROUP,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,FALSE,⚫ CRITICAL,10,0,100 cadastros pagos,"R$ 100,00",0,"0,00%",,,,,,,,"Verificar GTM e garantir que a conversão do Google ads está funcionando;
- Verificar sobre a base de clientes.
- Validar qual ferramenta de Analytics eles estã usando
- Pegar acesso ao banco de dados",,,,-,Tratativa,Não,,,,,,V1," R$  7.400,00 ","R$ 0,00",,,,,#NUM!,13/08/2025,,01/07/2026,5,5,5,5,5,5,,10,,LARGE,,SaaS,Tecnologia / SaaS,,,,OCTOPUS GROUP: Link do Contrato 
1205125884,GBC GLOBAL FOODS,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,10,2,Conteiners,"R$ 100,00",2,"2,00%",,,,,,,,"- Criar criativo EUA;
- Criar landing page EUA;
",,,,Em construção,Tratativa,Não,,,,,,V1," R$  11.019,00 ","R$ 5.000,00","R$ 5.000,00","R$ 0,00","R$ 45,91","R$ 0,00",#NUM!,14/09/2025,,01/07/2026,4,4,3,4,3,4,,7,,LARGE,"São Paulo, SP",Inside Sales,Alimentício,,,,GBC GLOBAL FOODS: Link do Contrato
1332010281,MÓVEIS 3D,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,TRUE,TRUE,TRUE,🔴 DANGER,18,5,30.000 de faturamento mensal  via Marketplace,"R$ 30.000,00",13070,"43,57%",,,,,,,,"- Criar nova landing page;
- Começar campanhas no meta;",,,,Cliente novo,Tratativa,Não,,,,,,V1," R$  6.994,00 ","R$ 3.000,00","R$ 2.000,00","R$ 1.000,00","R$ 2.000,00","R$ 1.000,00",#NUM!,01/04/2026,,,,,,,,,,,,LARGE,"São Bento, SC",Inside Sales,Varejo físico,,,,MÓVEIS 3D: Link do Contrato 
1331133397,SHOPPING PIRATAS,Não,Felipe Gonçalves,Fanuel Silva,Felipe Campos,21/07/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,8,0,Sem meta,"R$ 0,00",0,#DIV/0!,,,,,,,,"- Duplicar publico atual e colocar somente o IG;
- Trazer a hipotese de tiktok;",,,,Cliente novo,Tratativa,Não,,,,,,V1," R$  9.903,00 ","R$ 3.000,00","R$ 3.000,00","R$ 0,00","R$ 953,17","R$ 0,00",#NUM!,31/03/2026,,,,,,,,,,,,LARGE,"Angra, RJ",Inside Sales,Shopping,,,,SHOPPING PIRATAS: Link do Contrato
,L DIAS CORRETORA,Não,Felipe Gonçalves,Gersson,Ruanderson,25/07/2026,FALSE,TRUE,TRUE,FALSE,⚫ CRITICAL,13,3,250 leads no mês,"R$ 250,00",150,"60,00%",,100,,,40,,,"- Não estamos investindo o que deveria;
- Testar mais criativos;
- Fazer um teste a/b com a lp atual, pedindo nome telefone e placa;
- Alinhar expectativa sobre as postagens atuais",,,,,Antecipação,Não,,,,,,V1," R$  4.489,37 ","R$ 3.000,00","R$ 3.000,00","R$ 0,00",,,#NUM!,08/05/2026,08/11/2026,,,,,,,,,,"R$ 500.000,00",SMALL,"São Paulo, SP",Inside Sales,Automotivo,L. DIas Corretora MC e Breakeven | Padrão,,,L DIAS CORRETORA DE SEGUROS: Link do Contrato
1296592991,GUARDIÃO AZUL,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,FALSE,TRUE,TRUE,🔴 DANGER,18,10,20.000 no LTV ,"R$ 20.000,00",20.910,"104,55%",,,,,,,,"- Refazer o planejamento e uma meta que faça sentido
- Enviar onde está a restrição e qual o plano de ação?
- Subir novos criativos",,,,Guardião Azul - Check-in Quarter - Q2 2026.pptx,Antecipação,Não,,,,,,V1," R$  4.500,00 ","R$ 3.000,00","R$ 2.000,00","R$ 1.000,00",,,,06/02/2026,06/08/2026,,,,,,,,,,"R$ 150.000,00",TINY,São José dos Campos - SP,Inside Sales,Tecnologia / SaaS,Guardião Azul e Breakeven | Padrão,Guardião Azul | GrowthPack V26 (Inside Sales),,GUARDIÃO AZUL: Link do Contrato
,COMIN EQUIPAMENTOS,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,15,2,"Atingir um total de R$ 30.000,00/Mês de faturamento","R$ 30.000,00",6500,"21,67%",,48,,,24,,,"- Treinamento de objeções, acompanhar como vai ser após;
- Vamos começar a ter uma visão sobre o funil de vendas por plataforma;
- Lead oculto com o concorrente com um pedido igual ao que a Comin teve;",,,,https://quarter2cominreview.netlify.app/,Saudável,Não,,,,,,V1," R$  7.470,00 ","R$ 3.000,00","R$ 1.500,00","R$ 1.500,00",,,,23/02/2026,23/02/2027,01/07/2026,5,5,4,4,4,4,,8,"R$ 5.000.000,00",MEDIUM,Chapecó-SC,Inside Sales,Indústria,Comin Equipamentos - MC e Breakeven.xlsx,Comin | GrowthPack V26 (Inside Sales),,COMIN EQUIPAMENTOS: Link do Contrato
1136020429,AFABB,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,Atingir um total de 300 Leads/Mês,"R$ 300,00",0,"0,00%",,10,"10,73","107,30%",,,,,,,,Afabb - Check-in Quarter - Q2 2026.pptx,Aviso Prévio,,,,,,,V1," R$  4.500,00 ","R$ 3.000,00","R$ 1.000,00","R$ 2.000,00",,,,16/05/2025,,01/07/2026,3,1,3,4,4,3,,5,"R$ 1.500.000,00",SMALL,Belo Horizonte - MG,Inside Sales,Saúde ,CAC e Breakeven | AFABB ,AFABB | GrowthPack V26 (Inside Sales),,AFABB: Link do Contrato
,X1 - FIBRA,Não,Felipe Gonçalves,Gersson,Ruanderson,25/07/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,15,7,30 vendas no mês,"R$ 30,00",21,"70,00%",,43,,,60,,,"- Template de follows up;
- Lead oculto;
- Agora entender as taxas de conversão por conta da correção dos MQLs;
- Fala para o cliente adquirir um novo dominio para subirmos essa LP.",,,,,Saudável,Não,,,,,,V1," R$  5.018,62 ","R$ 2.000,00","R$ 1.500,00","R$ 500,00",,,,11/05/2026,11/11/2026,01/07/2026,5,5,5,5,5,5,,10,"R$ 2.400.000,00",SMALL,Rio de Janeiro - RJ,Inside Sales,Provedor de Internet,X1 Fibra e Breakeven - Padrão.xlsx,X1 - Fibra [GrowthPack - V26] - Atual,,X1 FIBRA: Link do Contrato
1242406620,VIVA BEM ,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,TRUE,TRUE,TRUE,🔴 DANGER,16,3,"Atingir R$ 35.483,35/mês e 125 MQLs no Quarter","R$ 35.483,35",10227,"28,82%",,42,33,"78,57%",2000,,,"- Treinamento de vendas no próximo encontro;
- Entender como conheceu a empresa?
- Parar de vender no whatsapp e trazer para a loja.",,,,Viva Bem - Check-in Quarter - Q2 2026.pptx,Aviso Prévio,,,,,,,V1," R$  3.500,00 ","R$ 2.000,00","R$ 2.000,00","R$ 0,00",,,,27/10/2025,,01/07/2026,5,4,4,3,,3,,8,"R$ 500.000,00",TINY,Santa Cruz do Sul - RS,Inside Sales,Varejo físico,Viva Bem - MC e Breakeven _ Padrão.xlsx,Viva Bem | GrowthPack V26 (Inside Sales),,VIVA BEM: Link do Contrato
1220244339,DR ERNESTO DIAS,Não,Felipe Gonçalves,Gersson,Ruanderson,03/08/2026,FALSE,TRUE,TRUE,FALSE,🔴 DANGER,20,10,"Atingir R$ 16.031,38/mês e 41 consultas realizadas/mês","R$ 16.031,38",37600,"234,54%",,,,,,,,"- Social media;
- Ajuste de midia para onde faz mais sentido em trazer leads qualificados;
- Meta ads focar somente em topo de funil para trabalhar o ego do stakeholder.",,,,https://reviewquarter2drernestodias.netlify.app/,Aviso Prévio,,,,,,,V1," R$  4.000,00 ","R$ 3.500,00","R$ 1.000,00","R$ 2.500,00",,,,31/10/2025,,,,,,,,,,,"R$ 1.200.000,00",SMALL,Macaé - RJ,Inside Sales,Saúde ,Doutor Ernesto Dias - MC e Breakeven _ Padrão.xlsx, Dr.Ernesto | GrowthPack V26 (Inside Sales),,DR. ERNESTO DIAS: Link do Contrato
