squad_id,cliente,account,arr,auditado,auditado_flag,churn_realizado,cidade,coordenador,criterio_mql,criterio_sql,csat_atendimento,csat_campanhas,csat_copy,csat_design,csat_prazo,csat_resultados,customer_care_status,data_atualizacao,data_inicio_contrato,data_vencimento_contrato,deadline_plano,drive_cliente,entregas_prazo,entregas_qualidade,fee,flag_calculada,flag_media,google_media_plan,gt,health_medio,justificativa_atrasos,justificativa_mql,justificativa_qualidade,justificativa_relacionamento,justificativa_resultado,kr1,kr2,kr3,last_csat_matriz,link_cac_mapeado,link_contrato,link_ekyte,link_growthpack,link_loop,link_pic,link_replanejamento,lt,meta_media_plan,meta_mql,mhs,modalidade_vendas,nota_atrasos,nota_mql,nota_qualidade,nota_relacionamento,nota_resultado,nps,objetivo_smart,pacing_kr1,pacing_kr2,pacing_kr3,plano_acao,pontuacao_ponderada,realizado_kr1,realizado_kr2,realizado_kr3,relacionamento,replanejamentos_q3,resultados,resumo_historico,saldo_conta_google,saldo_conta_meta,segment,start_plano,step,tem_loop_aberto,tier,total_media_plan
wall-street,UNIVERSE,Jaqueline Ventura,,,,Não,São Paulo- SP,Felipe Gonçalves,,,5.0,4.0,4.0,4.0,3.0,4.0,Tratativa,2026-07-30,2026-01-28,2026-07-28,,,,,6000.0,🔴 VERMELHO,,,Wesley Elioenai,,Há 25 tarefas ativas vencidas nas workspaces Tend e Underforms; não foram consideradas tarefas pausadas.,A transcrição não menciona MQLs ou Leads Qualificados pelo Marketing.,"O cliente solicitou refações de diversos criativos por distorções de produto, logo e proporções.","Marcelo participou ativamente, elogiou o apoio de Jaque e Wesley e direcionou os próximos passos.","Há vendas, mas o CAC do e-commerce está acima do máximo esperado e os resultados ainda não atingem o objetivo.",,,,2026-07-01,,https://app.pipefy.com/apollo_databases/305733459/records/1299753266?title=universe,,,,,https://snazzy-haupia-22d23d.netlify.app/,,,,,E-commerce,1.0,1.0,1.0,3.0,2.0,7.0,Faturar 100 mil por mês em 6 meses,,,,Temos PDA rodando [Inserir o link],43.0,,,,,,,"2 avaliações válidas (21/07, 30/07). M/A/Q/Rel/Res: 1/3/2/3/3 → 1/1/1/3/2. Atrasos e refações se agravaram; MQL segue sem acompanhamento. Tendência: piorando | flag histórica: amarela (deterioração inicial) | confiança média.",,,,,V1,,,
wall-street,DE PAULA ODONTOLOGIA,Jaqueline Ventura,,Sim,,Não,Taquara- RS,Felipe Gonçalves,,,,,,,,,Antecipação,2026-08-13,2022-04-22,2026-10-22,,,,,5077.0,🔴 VERMELHO,,2500.0,Wesley Elioenai,,Há 4 tarefas ativas vencidas; 3 são internas e sem tag de dependência do cliente.,"Inside sales: 5 MQLs em 127 leads (3,9%), abaixo de 30%.",O cliente aprovou o corte do vídeo de prova social; não houve pedido de refação de entrega.,"Cliente participou ativamente e validou ações de CRM, qualificação, verba e novos criativos.","Foram citados leads, MQLs e agendamentos, mas não houve venda ou faturamento de campanha confirmado.",,"8,5",10000,,,https://app.pipefy.com/apollo_databases/305733459/records/1080125545?title=new,,,,,,54,6495.0,,,Inside Sales,1.0,2.0,3.0,3.0,1.0,,Faturar 300 mil por mês (cenário otimista),,"78,00%","81,00%","- Apresentar o Planejamento 
- Validar a implementação do Kommo CRM
- Fazer lead oculto 
- Ter acesso as contas de anuncios
- Validar acesso a Id Visual",60.0,,"6,63",8100,,,,"5 avaliações válidas (16/07, 23/07, 30/07, 06/08, 13/08). M/A/Q/Rel/Res: 3/2/3/3/1 → 2/1/3/3/1 → 2/2/3/3/1 → 1/2/3/3/2 → 2/1/3/3/1. Qualidade e relação seguem fortes, mas resultado sem venda atribuída e atrasos internos persistem. Tendência: piorando | flag histórica: vermelha | confiança alta.",,,,,V2,Não,,8945.0
wall-street,TEKSEA,Mailon Weber,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-05-15,2026-01-28,2026-07-28,,,,,6000.0,,,,Guilherme Santana,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299718745?title=teksea,,,,,,,,,,Inside Sales,,,,,,,Posicionar a empresa como referência do mais elevado padrão técnico do setor,,,,,,,,,,,,,,,,,V1,,,
wall-street,POINT MOTORS,Mailon Weber,,,,Sim,,Felipe Gonçalves,,,,,,,,,,2026-06-29,,,,,,,,,,,Guilherme Santana,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299753846?title=point,,,,,,,,,,Inside Sales,,,,,,,Aviso prévio,,,,,,,,,,,,,,,,,V2,,,
wall-street,CASA AO LADO,Mailon Weber,,,,Não,,Felipe Gonçalves,,,,,,,,,Saudável,2026-06-22,2026-01-29,2026-07-29,,,,,3497.0,,,,Guilherme Santana,,,,,,,33000,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1299752766?title=casa,,,,,,,,,,Inside Sales,,,,,,,"Gerar R$33.000,00 de faturamento no mês vindos de campanhas","0,00%",#VALUE!,#VALUE!,,,0,,,,,,,,,,,V2,,,
wall-street,ODONTO EXCELLENCE,Guilherme Santana,,,,Não,,Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-06-29,2026-01-28,2026-01-28,,,,,2000.0,,,,Guilherme Santana,,,,,,,25,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1303774745?title=odonto,,,,,,,,,,Inside Sales,,,,,,,Marcar 25 agendamento no mês vindos de campanhas,"0,00%",,,,,0,,,,,,,,,,,V2,,,
wall-street,TARSUS,Mailon Weber,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-22,2026-02-19,2027-02-19,,,,,6634.0,,,,Guilherme Santana,,,,,,,45,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1301987085?title=ideal,,,,,,,,,,Inside Sales,,,,,,,Gerar 45 MQLs no mês (Não aprovado com o cliente),"24,44%",,,,,11,,,,,,,,,,,V2,,,3000.0
wall-street,VERTIQ CORRETORA DE SEGUROS E CAMBIO LTDA,Mailon Weber,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-22,2025-05-08,2026-11-08,,,,,6100.0,,,,Guilherme Santana,,,,,,,7,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1141451168?title=vertiq,,,,,,,,,,Inside Sales,,,,,,,3 Vendas de consórcio e 3M de carteira na renda variavel,"0,00%",,,,,0,,,,,,,,,,,V2,,,
wall-street,LAR PARAGUAY,Luis Guilherme,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-29,2025-03-31,,,,,,5774.1,,,,Gersson,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1125079972?title=LAR,,,,,,,,,,Inside Sales,,,,,,,"Sem metas, vamos definir (talvez DR-X)",,,,,,,,,,,,,,,,,V1,,,
wall-street,MEDJUS,Luis Guilherme,,,,Sim,,Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-06-29,,,,,,,6350.0,,,,Felipe Porto,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1190439599?title=medjus,,,,,,,,,,SaaS,,,,,,,Aviso prévio,,,,,,,,,,,,,,,,,,,,
wall-street,JUSTPET,Luis Guilherme,,,,Sim,,Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-06-29,,,,,,,6500.0,,,,Felipe Porto,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1266739850?title=petjus,,,,,,,,,,SaaS,,,,,,,Aviso prévio,,,,,,,,,,,,,,,,,V2,,,
wall-street,KOMFORT VISION,Luis Guilherme,,,,Sim,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-29,2026-03-19,2027-03-19,,,,,55833.97,,,,Felipe Porto,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1321329695?title=komfort,,,,,,,,,,Inside Sales,,,,,,,Precisamos alinhar aqui (Fazemos esse acompanhamento diário),,,,,,,,,,,,,,,,,V1,,,
wall-street,NILOS DO BRASIL LTDA,Fanuel Silva,,,,Não,"Contagem, MG",Felipe Gonçalves,,,,,,,,,Antecipação,2026-08-11,2024-09-11,,,,,,4310.0,🟡 AMARELO,,1500.0,Felipe Campos,,"3 tarefas ativas vencidas em 11/08, sem tag de dependência do cliente: aviso prévio/churn, cronograma social media e lead oculto.","Inside sales: 31 leads e custo por MQL de R$ 124,76 sobre R$ 1.753 investidos indicam cerca de 14 MQLs (estimativa de 45%), acima de 30%.",As partes concordaram com o progresso; não houve reclamações ou refações registradas.,"Relação cordial, mas o encontro foi de transição para nova agência; sem validação de continuidade estratégica.",R$ 3.279 faturados de 01 a 11/08 e R$ 1.753 investidos; não cobre fee de R$ 4.310 + mídia planejada de R$ 5.000.,18000,,,,,NILOS DO BRASIL LTDA: Link do Contrato,,,,,https://nilos-checkin-quarter-5eccfd32.netlify.app,#NUM!,3500.0,,,Inside Sales,1.0,3.0,3.0,2.0,2.0,3.0,R$18.000 de faturamento mensal,"82,81%",,,"[done] - Cris vai colocar um pin sobre as empresas que a Nilos passou;
[done] - Melhorar os publicos com foco em demograficos.",67.0,14905,,,,,,"3 avaliações válidas (21/07, 04/08, 11/08). M/A/Q/Rel/Res: 3/3/2/3/3 → 5/2/3/3/4 → 3/1/3/2/2. Resultado e atrasos pioraram no check-in de transição; qualidade segue positiva. Tendência: piorando | flag histórica: amarela (deterioração inicial) | confiança média.",318.93,318.93,Indústria,,V2,Não,MEDIUM,5000.0
wall-street,HODIE SEMPER REAL ESTATE LTDA,Fanuel Silva,,,,Sim,"São Paulo, SP",Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-07-07,2025-03-20,,2026-07-03,,,,7613.0,,,0.0,Felipe Campos,,,,,,,4,,,,,HODIE SEMPER REAL ESTATE LTDA: Link do Contrato,,,Churn Oficial em 03/06. Não abriremos Loop pq o cliente já saiu do grupo.,,,#NUM!,7200.0,,,Inside Sales,,,,,,8.0,4 Vendas,"0,00%",,,,,0,,,,,,,0.0,3103.29,Imobiliário,,V2,Não,LARGE,7200.0
wall-street,ZIPBUM,Fanuel Silva,,,,Não,"São Paulo, SP",Felipe Gonçalves,,,,,,,,,Tratativa,2026-07-30,2025-06-28,,2026-08-07,,,,5200.0,🔴 VERMELHO,,2500.0,Felipe Campos,,Há 2 tarefas ativas vencidas na workspace ZIPBUM; tarefas pausadas não foram consideradas.,"Foram gerados 58 formulários qualificados; 77% possuem CNPJ ativo, embora ainda não tenham sido atendidos.",Não houve pedido de refação de entregáveis no encontro.,"O cliente participou, reconheceu o problema no atendimento e se comprometeu a validar com o time comercial.",Não foram apresentadas vendas; os formulários qualificados não receberam atendimento até o momento.,40000,,,,,ZIPBUM: Link do Contrato,,,Gestão de Alerta (Loop) - Zipbum,,Em plano de ação,#NUM!,2500.0,,,Inside Sales,2.0,3.0,3.0,3.0,1.0,8.0,Definir geração MQLs,"0,00%",,,"- Definir um acordo de SLA com o time de vendas 
- Calcular o CAC Mapeado",64.0,0,,,,,,"2 avaliações válidas (21/07, 30/07). M/A/Q/Rel/Res: 1/2/3/3/1 → 3/2/3/3/1. A qualificação de demanda evoluiu, mas a falta de atendimento e de vendas persiste. Tendência: estável | flag histórica: vermelha | confiança média.",381.44,0.0,E-commerce,2026-07-23,V1,Não,LARGE,5000.0
wall-street,STRUTURAL,Fanuel Silva,,,,Não,"Manaus, AM",Felipe Gonçalves,,,5.0,5.0,5.0,5.0,5.0,5.0,Tratativa,2026-08-12,2025-05-28,,,,,,4500.0,🟡 AMARELO,,1500.0,Felipe Campos,,Não há tarefas ativas vencidas no Ekyte em 12/08.,A definição e a marcação automática de MQL ainda estão sendo implantadas no Odoo; não há taxa Lead→MQL mensurável.,Cliente e equipe validaram a automação de rastreio como um avanço essencial; não houve reclamações ou refações.,"Cliente participou ativamente e validou ações de CRM, rastreabilidade e processo comercial além das campanhas.","22 vendas mapeadas em agosto, com ticket médio de R$ 594 (≈R$ 13,1 mil). Cobre fee + mídia planejada, mas o ROI de mídia não é comprovável pela divergência no investimento informado.",40000,,,2026-07-01,,STRUTURAL: Link do Contrato,https://app.ekyte.com/#/projects/310388/edit,,Plano de Ação - Strutural - 2026-06-26,,https://estrutural-checkin-quarter.netlify.app/,#NUM!,2500.0,,,Inside Sales,3.0,1.0,3.0,3.0,3.0,10.0,40.000 de faturamento mês,"140,00%",,,,74.0,56000,,,,,,"3 avaliações válidas (22/07, 29/07, 12/08). M/A/Q/Rel/Res: 1/3/3/3/5 → 3/3/3/3/4 → 1/3/3/3/3. Qualidade, atrasos e relação seguem saudáveis; MQL exige mensuração e resultado perdeu força em agosto. Tendência: estável | flag histórica: amarela | confiança média.",268.67,147.19,Varejo físico,2026-06-26,V2,Não,MEDIUM,4000.0
wall-street,FORD SPERANDIO,Fanuel Silva,,,,Não,"Chapecó, SC",Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-07-07,2025-07-07,,2026-08-09,,,,5640.0,,,2200.0,Felipe Campos,,,,,,,10,,,,,FORD SPERANDIO: Link do Contrato,,,Plano de Transição e Garantia Operacional – FORD Sperandio,,Churn,#NUM!,6400.0,,,Inside Sales,,,,,,,10 Carros/mês,"0,00%",,,,,0,,,,,,,0.0,0.0,Automotivo,2026-06-11,V2,Sim,LARGE,8600.0
wall-street,JS PEÇAS,Fanuel Silva,,,,Não,"Goiania, GO",Felipe Gonçalves,,,,,,,,,Tratativa,2026-08-13,2025-01-07,,,,,,11961.0,🟡 AMARELO,,2000.0,Felipe Campos,,"Há 8 tarefas ativas vencidas no Ekyte, todas internas e sem tag de dependência do cliente.",E-commerce: a reunião não trouxe métrica de add-to-cart nem base para calculá-la.,Não houve aprovação explícita das entregas; a call apontou necessidade de investigar rastreamento e experiência do vendedor.,"Cliente e equipe validaram a discussão estratégica sobre DRE, SDR, aprovação de cadastros e rastreamento.","Há compras reportadas pelo pixel, mas 22 atribuídas à campanha não foram validadas por UTMs nem houve faturamento comprovado.",200000,,,,,JS PEÇAS: Link do Contrato,,,Giulio tentou um upsell e o cliente pediu para segurarmos toda a execução até o final dessa negociação.,,Em construção,#NUM!,7000.0,,,Mktplace,1.0,1.0,2.0,3.0,2.0,,200K  / mês,"173,00%",,,"- Montar uma landing page;
- Lead oculto com o inside sales;
- Felipe mostrar sobre ação de exclusão dos compradores do app;
- Fanu verificar antes e depois das campanhas no app.",52.0,346000,,,,,,"5 avaliações válidas (16/07, 24/07, 30/07, 07/08, 13/08). M/A/Q/Rel/Res: 1/3/3/3/3 → 1/2/3/3/2 → 1/1/3/3/4 → 1/1/3/3/2 → 1/1/2/3/2. MQL segue sem medição de add-to-cart, atrasos internos persistem e as compras ainda não têm atribuição confiável. Tendência: estável | flag histórica: vermelha | confiança alta.",0.0,0.0,E-commerce,,V3,Não,LARGE,9000.0
wall-street,ELARA,Fanuel Silva,,,,Não,"Nazaré, SP",Felipe Gonçalves,,,5.0,5.0,4.0,4.0,4.0,3.0,Tratativa,2026-07-31,2026-01-28,,,,,,5017.17,🔴 VERMELHO,,1500.0,Felipe Campos,,Há 2 tarefas ativas vencidas na workspace Elara Papéis; tarefas pausadas não foram consideradas.,A transcrição não cita MQLs nem Leads Qualificados pelo Marketing.,Não houve pedido de refação de entregáveis; o encontro tratou de estratégia de catálogo e preço.,"Marcelo e Artur participaram ativamente, discutiram viabilidade e definiram próximos testes.",Não foram apresentadas vendas no encontro; a estratégia atual ainda não trouxe visibilidade suficiente no Mercado Livre.,0,,,2026-07-01,,ELARA: Link do Contrato,,,,,Cliente novo,#NUM!,2500.0,,,Mktplace,2.0,1.0,3.0,3.0,1.0,9.0,Sem meta,#DIV/0!,,,"- Fazer um benchmark de concorrentes para entender como que eles 
conseguem um frete competitivo",54.0,0,,,,,,"3 avaliações válidas (17/07, 24/07, 31/07). M/A/Q/Rel/Res: 1/3/3/3/1 → 1/3/3/3/2 → 1/2/3/3/1. A operação segue engajada, mas vendas e visibilidade não se sustentaram e surgiram atrasos. Tendência: piorando | flag histórica: amarela (deterioração inicial) | confiança média.",0.0,3834.5,Indústria,,V1,Não,LARGE,4000.0
wall-street,OCTOPUS GROUP,Fanuel Silva,,,,Não,,Felipe Gonçalves,,,5.0,5.0,5.0,5.0,5.0,5.0,Tratativa,2026-07-29,2025-08-13,,,,,,7400.0,🔴 VERMELHO,,,Felipe Campos,,Não há tarefas ativas vencidas na workspace; a tarefa ativa encontrada tem vencimento em 29/07/2026.,A transcrição não cita MQLs nem Leads Qualificados pelo Marketing; o plano de aquisição ainda será implementado.,Não houve pedido de refação ou reclamação sobre entregáveis durante o encontro.,"Wagner participou ativamente, aprovou os encaminhamentos e elogiou a equipe ao encerrar a reunião.",A plataforma possui cerca de 920 a 1.000 usuários majoritariamente gratuitos; não houve vendas ou assinaturas pagas reportadas.,100,,,2026-07-01,,OCTOPUS GROUP: Link do Contrato,,,,,,#NUM!,,,,SaaS,3.0,1.0,3.0,3.0,1.0,10.0,100 cadastros pagos,"0,00%",,,"Verificar GTM e garantir que a conversão do Google ads está funcionando;
- Verificar sobre a base de clientes.
- Validar qual ferramenta de Analytics eles estã usando
- Pegar acesso ao banco de dados",60.0,0,,,,,,,,,Tecnologia / SaaS,,V1,Não,LARGE,0.0
wall-street,GBC GLOBAL FOODS,Fanuel Silva,,,,Não,"São Paulo, SP",Felipe Gonçalves,,,4.0,4.0,4.0,3.0,4.0,3.0,Tratativa,2026-08-05,2025-09-14,,,,,,11019.0,🔴 VERMELHO,,0.0,Felipe Campos,,"Há tarefas vencidas sem a tag AGUARDANDO APROVAÇÃO, incluindo CRM e disparos de e-mail.",Inside sales: foram reportados 8 leads já qualificados pelo formulário como MQLs; o critério ainda está em consolidação.,"Não houve refação, mas não há evidência clara de aprovação da entrega.","A condução incluiu CRM e processo comercial, com próximos passos validados pelo cliente.",Não houve vendas atribuídas ou faturamento comprovado na call.,100,,,2026-07-01,,GBC GLOBAL FOODS: Link do Contrato,,,,,Em construção,#NUM!,5000.0,,,Inside Sales,1.0,3.0,2.0,3.0,1.0,7.0,Validar quantidade de MQLs necessária,"0,00%",,,"- Criar criativo EUA;
- Criar landing page EUA;",62.0,0,,,,,,"2 avaliações válidas (31/07, 04/08). M/A/Q/Rel/Res: 3/2/3/3/4 → 1/2/3/3/1. Engajamento e qualidade seguem positivos, mas não há MQLs nem vendas atribuídas confirmadas e o CRM ainda limita a leitura do funil. Tendência: piorando | flag histórica: amarela (deterioração inicial; alerta de resultado) | confiança média.",0.0,45.91,Alimentício,,V1,Não,LARGE,5000.0
wall-street,MÓVEIS 3D,Fanuel Silva,,,,Sim,"São Bento, SC",Felipe Gonçalves,,,,,,,,,Tratativa,2026-07-15,2026-04-01,,,,,,6994.0,,,1000.0,Felipe Campos,,,,,,,30000,,,,,MÓVEIS 3D: Link do Contrato,,,,,Cliente novo,#NUM!,2000.0,,,Inside Sales,,,,,,,30.000 de faturamento mensal  via Marketplace,"6,33%",,,"- Criar nova landing page;
- Começar campanhas no meta;",,1900,,,,,,,1000.0,2000.0,Varejo físico,,V1,Não,LARGE,3000.0
